title,text,label
Breaking: New policy announced by government,The government has announced a new policy that will impact citizens significantly.,real
You won’t believe what this celebrity did!,"This celebrity has done something unbelievable, and you must see it to believe it!",fake
Scientists discover cure for major disease,A group of scientists has found a breakthrough cure for a life-threatening disease.,real
Click here to win a free iPhone!,Win a free iPhone by clicking this link. Limited time offer!,fake
Stock market crashes after major event,The stock market saw a significant crash after a major event disrupted global trade.,real
Aliens found in secret government base,A leaked report claims aliens were found in a secret government facility.,fake
Genuine research proves climate change effects,Recent scientific research confirms the rapid effects of climate change worldwide.,real
This politician caught in corruption scandal,"A top politician has been caught in a corruption scandal, reports say.",real
New study reveals benefits of meditation,A new study shows that meditation has numerous mental health benefits.,real
Shocking news: Time travel is now possible!,Reports suggest that time travel is now a reality after a secret project succeeds.,fake
